year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2511.00,621.00,120.86,28.26,158.02,0.00,313.87,68.00,12.00,62759.00,14782.00,4772.00,7585.00,0.00,35620.00
2024,1,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",47.00,15.00,4.02,0.00,9.98,0.00,1.00,1.00,1.00,791.00,204.00,0.00,459.00,0.00,128.00
2024,1,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",81.00,15.00,1.85,0.00,6.93,0.00,6.22,5.00,0.00,1399.00,223.00,0.00,475.00,0.00,701.00
2024,1,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",35.00,7.00,0.98,0.98,2.53,0.00,2.51,1.00,0.00,953.00,38.00,594.00,131.00,0.00,190.00
2024,1,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",257.00,46.00,9.67,0.74,20.59,0.00,14.99,17.00,0.00,2778.00,718.00,30.00,825.00,0.00,1205.00
2024,1,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",156.00,35.00,11.07,0.00,14.08,0.00,9.85,8.00,0.00,2134.00,617.00,0.00,833.00,0.00,684.00
2024,1,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1201.00,260.00,36.97,13.92,66.01,0.00,143.10,33.00,3.00,19739.00,3943.00,1515.00,3530.00,0.00,10751.00
2024,1,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",122.00,31.00,8.09,0.66,16.44,0.00,5.81,2.00,0.00,2387.00,612.00,54.00,1080.00,0.00,641.00
2024,1,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",14.00,6.00,2.47,0.00,2.35,0.00,1.18,0.00,0.00,232.00,139.00,0.00,65.00,0.00,28.00
2024,1,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",64.00,12.00,3.86,0.00,5.01,0.00,3.14,1.00,0.00,783.00,352.00,0.00,266.00,0.00,165.00
2024,1,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1428.00,276.00,64.68,15.91,90.86,0.00,104.55,69.00,1.00,28959.00,8745.00,3167.00,7085.00,0.00,9962.00
2024,1,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2396.00,461.00,83.97,34.77,181.30,0.00,160.97,163.00,6.00,49152.00,9978.00,7003.00,16946.00,0.00,15225.00
2024,1,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",7.00,2.00,0.00,0.00,0.98,0.00,1.03,0.00,0.00,83.00,0.00,0.00,39.00,0.00,44.00
2024,1,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",711.00,121.00,37.13,6.26,27.10,0.00,50.51,16.00,0.00,11552.00,4177.00,1147.00,994.00,0.00,5234.00
2024,1,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",50.00,17.00,3.61,1.89,6.72,0.00,4.77,0.00,0.00,730.00,308.00,100.00,176.00,0.00,146.00
2024,1,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",547.00,200.00,62.97,9.49,38.16,0.78,88.61,4.00,0.00,13160.00,3723.00,912.00,1624.00,25.00,6876.00
2024,1,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1201.00,404.00,94.60,13.24,121.72,1.28,173.17,14.00,8.00,34417.00,9540.00,1743.00,5468.00,36.00,17630.00
2024,1,AA,American Airlines Network,BNA,"Nashville, TN: Nashville International",605.00,203.00,63.83,7.05,38.34,0.67,93.11,42.00,2.00,14149.00,4947.00,500.00,1571.00,21.00,7110.00
2024,1,AA,American Airlines Network,BOS,"Boston, MA: Logan International",1247.00,356.00,103.87,17.55,76.07,1.43,157.07,27.00,5.00,27434.00,7258.00,3202.00,4263.00,41.00,12670.00
2024,1,AA,American Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",263.00,99.00,27.93,5.69,15.42,1.22,48.75,4.00,1.00,6429.00,1478.00,668.00,677.00,65.00,3541.00
2024,1,AA,American Airlines Network,CLT,"Charlotte, NC: Charlotte Douglas International",9965.00,2377.00,606.25,103.36,650.99,8.18,1008.22,112.00,21.00,227004.00,76566.00,17300.00,31938.00,1291.00,99909.00
2024,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2098.00,540.00,135.99,25.55,118.77,6.95,252.74,67.00,25.00,47731.00,14150.00,3480.00,5460.00,1271.00,23370.00
2024,1,AA,American Airlines Network,DEN,"Denver, CO: Denver International",687.00,227.00,83.91,12.36,47.04,0.35,83.35,10.00,0.00,14659.00,4768.00,1298.00,1722.00,27.00,6844.00
2024,1,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13036.00,4076.00,856.61,224.95,1300.94,14.66,1678.84,263.00,31.00,408521.00,125584.00,29299.00,66645.00,517.00,186476.00
2024,1,AA,American Airlines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",324.00,94.00,34.73,3.71,12.32,1.00,42.24,13.00,3.00,7335.00,2443.00,247.00,631.00,19.00,3995.00
2024,1,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",529.00,178.00,40.11,6.77,51.94,2.19,76.98,11.00,1.00,11188.00,2610.00,514.00,2114.00,48.00,5902.00
2024,1,AA,American Airlines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",641.00,187.00,43.39,8.37,61.84,0.00,73.40,5.00,2.00,12587.00,3315.00,884.00,2739.00,0.00,5649.00
2024,1,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",62.00,22.00,7.75,0.09,3.94,0.00,10.22,2.00,0.00,1495.00,601.00,6.00,151.00,0.00,737.00
2024,1,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",2748.00,522.00,262.20,158.98,61.33,1.92,37.57,41.00,2.00,49544.00,23397.00,19432.00,3617.00,60.00,3038.00
2024,1,PT,Piedmont Airlines,BOS,"Boston, MA: Logan International",108.00,19.00,1.47,1.25,4.23,0.00,12.05,4.00,0.00,1970.00,98.00,47.00,270.00,0.00,1555.00
2024,1,PT,Piedmont Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",2645.00,412.00,60.98,31.38,133.22,0.30,186.12,47.00,11.00,39316.00,7585.00,5466.00,6242.00,27.00,19996.00
2024,1,PT,Piedmont Airlines,ORD,"Chicago, IL: Chicago O'Hare International",164.00,37.00,7.02,5.40,10.84,0.00,13.74,11.00,1.00,4033.00,394.00,1467.00,615.00,0.00,1557.00
2024,1,PT,Piedmont Airlines,PHL,"Philadelphia, PA: Philadelphia International",1223.00,267.00,39.14,18.55,94.71,0.00,114.60,42.00,5.00,26927.00,5124.00,3966.00,4530.00,0.00,13307.00
2024,1,QX,Horizon Air,LAS,"Las Vegas, NV: Harry Reid International",110.00,31.00,7.96,1.00,10.11,0.00,11.93,3.00,0.00,2085.00,533.00,57.00,583.00,0.00,912.00
2024,1,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",113.00,33.00,7.44,1.00,7.60,1.69,15.26,8.00,0.00,2405.00,691.00,367.00,184.00,29.00,1134.00
2024,1,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",5.00,2.00,0.99,0.00,1.01,0.00,0.00,0.00,0.00,92.00,67.00,0.00,25.00,0.00,0.00
2024,1,QX,Horizon Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",96.00,25.00,9.17,1.00,7.35,0.00,7.47,2.00,0.00,1399.00,340.00,190.00,250.00,0.00,619.00
2024,1,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",72.00,13.00,4.91,1.00,0.61,0.00,6.48,4.00,0.00,747.00,470.00,31.00,38.00,0.00,208.00
2024,1,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",1388.00,319.00,59.96,28.01,127.86,1.64,101.53,52.00,1.00,20667.00,4817.00,2740.00,5037.00,38.00,8035.00
2024,1,QX,Horizon Air,SFO,"San Francisco, CA: San Francisco International",169.00,57.00,4.15,3.04,33.72,0.00,16.09,5.00,0.00,3440.00,277.00,212.00,1704.00,0.00,1247.00
2024,1,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",530.00,104.00,39.48,5.73,21.00,0.00,37.79,30.00,3.00,8742.00,2715.00,1245.00,1283.00,0.00,3499.00
2024,1,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",717.00,171.00,45.81,3.91,54.64,0.00,66.64,45.00,4.00,12251.00,3241.00,685.00,2388.00,0.00,5937.00
2024,1,UA,United Air Lines Network,BNA,"Nashville, TN: Nashville International",387.00,69.00,22.15,1.53,17.14,0.00,28.18,53.00,0.00,6438.00,1999.00,175.00,1646.00,0.00,2618.00
2024,1,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",861.00,189.00,57.74,9.94,39.64,0.00,81.68,62.00,5.00,14268.00,4628.00,997.00,1889.00,0.00,6754.00
2024,1,UA,United Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",247.00,37.00,9.73,0.84,5.97,0.00,20.47,35.00,0.00,3037.00,885.00,164.00,269.00,0.00,1719.00
